Dateiart,Datenformate,Bemerkungen,Quellen,Quellen zur Ampel,Ampel,Extensions,,,Legende,,,,Definition
Geoinformationssysteme (GIS),Vektordaten: Environmental Systems Research Institute ESRI Shapefile,,Herder-Institut Marburg: https://zenodo.org/records/18389871,Herder-Institut Marburg: https://zenodo.org/records/18389873,,,,,,,,,
,Vektordaten als ESRI ArcGIS/ARCView ShapeFile,,Herder-Institut Marburg: https://zenodo.org/records/18389872,Herder-Institut Marburg: https://zenodo.org/records/18389872,,,,,,,,,
,OGC GeoPackage (OpenSource),,Herder-Institut Marburg: https://zenodo.org/records/18389873,Herder-Institut Marburg: https://zenodo.org/records/18389873,,,,,,,,,
,Rasterbilddaten als Geo-TIFF,,Herder-Institut Marburg: https://zenodo.org/records/18389874,Herder-Institut Marburg: https://zenodo.org/records/18389874,,,,,,,,,
,ESRI World-File (Rastergrafik),,Herder-Institut Marburg: https://zenodo.org/records/18389875,Herder-Institut Marburg: https://zenodo.org/records/18389875,,,,,,,,,
,kml (Keyhole Mark-Up Language),,Herder-Institut Marburg: https://zenodo.org/records/18389876,Herder-Institut Marburg: https://zenodo.org/records/18389876,,.kml,,,,,,,
,gml (Geography Markup Language ),,Herder-Institut Marburg: https://zenodo.org/records/18389877,Herder-Institut Marburg: https://zenodo.org/records/18389877,,.gml,,,,,,,
,INTERLIS 1,,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,,,,,,,,,
,Längen- und Breitenangaben (alternativ),,Herder-Institut Marburg: https://zenodo.org/records/18389877,Herder-Institut Marburg: https://zenodo.org/records/18389871,,,,,,,,,
,Rasterdaten: Open Geospatial Consortium GeoTIFF,,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,National Archives (USGS): https://www.archives.gov/records-mgmt/policy/transfer-guidance-tables.html#geospatialformats,n/a,.tiff,,,,,,,
Webseiten,HTML5 (Hypertext Markup Language),,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,kost-ceco: https://kost-ceco.ch/cms/kad_image_de.html,,.html,,,,,,,
,XHTML (Extensible Hypertext Markup Language),,"NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate, lzv.nrw: https://www.lzv.nrw/dateiformate/?mtm_campaign=tafellaunch&mtm_medium=social ",NFDI4Cultue: https://docs.nfdi4culture.de/ta4-digital-preservation-basics/3-wie-kommen-materialien-in-ein-digitales-langzeitarchiv/3-4-identifizierung-erhaltenswerter-eigenschaften/dateiformate-fuer-die-langzeitarchivierung,,.xhtml,,,,,,,
,Resource Description Framework in Attributes (RDFa) für das Einbetten von RDF-Statements in HTML und XHTML,,NFDI4Culture: https://docs.nfdi4culture.de/ta2-fair-handreichung/empfehlungen-dateiformate,,n/a,.rdf,,,,,,,
